id_municipio,numero_obitos,numero_suicidios,populacao
1508126,54,1,27987
1508159,75,0,59881
1508209,80,0,42214
1508308,68,0,53607
1508357,13,0,10206
1508407,96,0,29606
1600055,6,0,4326
1600105,14,0,7465
1600154,12,0,5893
1600204,18,2,7878
1600212,15,0,4466
1600238,10,0,4458
1600253,6,0,4062
1600279,70,1,37194
1600303,295,5,368367
1600402,20,0,14259
1600501,30,0,16826
1600535,30,0,15328
1600550,5,0,2926
1600600,129,2,101864
1600709,11,0,8916
1600808,22,1,11487
1700251,4,0,2392
1700301,11,1,3650
1700350,21,0,6491
1700400,39,1,9082
1700707,31,0,8280
1701002,34,0,12156
1701051,10,1,2898
1701101,11,0,3703
1701309,25,0,8614
1701903,16,0,6105
1702000,29,0,8951
1702109,248,6,130105
1702158,13,0,5691
1702208,76,2,29936
1702307,24,0,6641
1702406,37,0,10960
1702554,59,0,14923
1702703,6,0,2827
1702901,26,0,7974
1703008,26,0,11257
1703057,4,0,2641
1703073,12,0,3776
1703107,18,0,4500
1703206,13,0,4725
1703305,8,0,2204
1703602,7,0,2082
1703701,24,0,4096
1703800,30,0,8008
1703826,9,0,2430
1703842,16,2,7307
1703867,9,0,3173
1703883,10,0,2170
1703891,17,0,4472
1703909,15,0,4314
1704105,12,0,2332
1704600,2,0,1184
1705102,12,1,3716
1705508,97,2,28467
1705557,16,1,4268
1705607,25,0,4574
1706001,18,1,3892
1706100,29,1,6862
1706258,5,0,1571
1706506,17,0,5000
1707009,54,3,17270
1707108,21,0,6137
1707207,26,0,6766
1707306,22,1,4705
1707405,33,0,9578
1707553,9,0,3807
1707652,21,0,5165
1707702,30,0,8754
1708205,56,3,20301
1708254,7,0,2887
1708304,16,1,4608
1709005,31,1,10777
1709302,53,0,21175
1709500,129,6,72831
1709807,7,0,1184
1710508,30,0,6569
1710706,11,0,6706
1710904,9,0,3613
1711100,14,0,1687
1711506,10,0,3298
1711803,7,0,2668
1711902,21,0,9102
1711951,12,0,2927
1712009,4,0,3513
1712157,7,0,1222
1712405,14,0,3507
1712454,15,0,2488
1712504,17,1,4070
1712702,5,0,1953
1712801,9,0,3524
1713205,65,3,28239
1713304,36,0,12463
1713601,18,1,4196
1713700,5,0,1948
1713809,16,0,5930
1713957,13,0,2628
1714203,32,0,9764
1714302,18,0,5888
1714880,23,0,10653
1715002,19,1,3273
1715101,10,0,3498
1715150,5,0,2574
1715259,6,0,2617
1715507,4,0,1039
1715705,15,0,3665
1715754,21,1,5407
1716109,101,3,42319
1716208,25,0,10009
1716307,18,0,4689
1716505,35,0,9017
1716604,30,0,8677
1716653,15,1,5553
1716703,35,2,9810
1717008,20,0,4490
1717206,11,0,3724
1717503,23,0,4106
1717800,22,0,4247
1717909,20,0,6111
1718006,16,0,2607
1718204,128,1,47141
1718303,16,1,8528
1718402,9,0,3899
1718451,6,0,2669
1718501,13,0,3896
1718550,20,0,3749
1718659,7,0,1531
1718709,6,0,2833
1718758,14,1,5420
1718808,6,0,2448
1718840,6,0,3702
1718865,24,1,6970
1718881,7,0,2463
1718899,1,0,1939
1718907,12,0,4681
1719004,2,0,2424
1720002,8,0,2847
1720101,15,0,2889
1720150,3,0,1595
1720200,24,0,9613
1720259,6,0,2843
1720309,14,0,4534
1720499,14,0,6092
1720655,18,1,3873
1720804,25,0,11225
1720853,2,0,1236
1720903,40,1,14477
1720937,7,0,1369
1720978,9,0,2809
1721000,214,7,220889
1721109,27,0,5927
1721208,66,1,26994
1721257,6,0,1311
1721307,1,0,1471
1722081,35,0,11022
1722107,51,1,12799
2100055,177,5,106357
2100105,10,0,4754
2100154,11,1,9826
2100204,50,0,22550
2100303,40,1,18315
2100402,20,0,6730
2100436,42,1,24121
2100477,72,0,35695
2100501,23,0,10054
2100550,15,0,6627
2100600,57,1,37345
2100709,39,0,23214
2100808,21,0,10303
2100832,12,0,13076
2100873,10,0,8664
2100907,31,0,35212
2100956,56,0,26827
2101004,50,0,27504
2101103,32,0,10721
2101202,151,6,96883
2101251,41,0,11395
2101301,32,0,16824
2101350,7,0,5096
2101400,138,1,73848
2101509,22,0,16716
2101608,117,1,78497
2101707,87,1,45804
2101731,16,0,5409
2101772,13,0,10829
2101806,14,0,5590
2101905,33,0,18461
2101939,14,1,6047
2101970,14,0,6331
2102002,67,0,38349
2102036,33,0,19578
2102077,16,0,13413
2102101,55,0,30073
2102150,14,0,8065
2102200,43,0,25065
2102309,50,0,21671
2102325,75,0,66326
2102358,25,0,15644
2102374,8,0,8512
2102408,13,0,10864
2102507,30,0,11474
2102556,24,0,13260
2102606,6,0,20656
2102705,49,1,17834
2102754,27,0,10760
2102804,41,0,23493
2102903,50,1,20650
2103000,211,3,144387
2103109,24,0,11008
2103125,11,0,8799
2103158,14,0,7052
2103174,26,1,16464
2103208,118,0,64618
2103257,39,1,12371
2103307,167,2,115098
2103406,105,1,44095
2103505,61,2,40836
2103554,31,1,9459
2103604,103,1,60632
2103703,65,1,40029
2103752,45,0,11721
2103802,30,0,23604
2103901,38,0,10798
2104008,44,0,22498
2104057,45,2,25520
2104073,8,0,7505
2104081,22,0,4943
2104099,24,0,18100
2104107,24,0,12679
2104206,33,1,13876
2104305,9,0,6715
2104404,28,0,16980
2104503,28,0,8237
2104552,32,1,13088
2104602,46,0,15867
2104628,20,0,6347
2104651,24,0,13119
2104677,61,2,33597
2104701,19,0,6220
2104800,96,2,54392
2104909,43,0,12849
2105005,31,1,22149
2105104,46,0,22088
2105153,32,0,11489
2105203,30,0,9090
2105302,323,4,232560
2105351,7,0,13081
2105401,127,1,51338
2105427,52,1,29114
2105450,23,0,4230
2105476,14,0,14719
2105500,54,0,21866
2105609,45,0,14123
2105658,19,0,6484
2105708,66,1,42362
2105807,13,0,9612
2105906,24,0,14071
2105922,22,0,10155
2105948,13,1,7925
2105963,22,0,7988
2105989,12,0,6602
2106003,17,0,10967
2106102,20,0,10437
2106201,9,0,5700
2106300,33,1,14149
2106326,37,0,16971
2106359,6,0,6968
2106375,17,0,10491
2106409,42,0,12680
2106508,45,1,22078
2106607,41,0,27257
2106631,12,0,8040
2106672,14,0,7510
2106706,47,0,21953
2106755,43,0,17487
2106805,20,0,13857
2106904,47,0,26546
2107001,23,1,11020
2107100,33,0,15865
2107209,26,0,8874
2107258,8,0,4579
2107308,6,0,4254
2107357,16,0,14086
2107407,29,0,17011
2107456,19,0,10075
2107506,144,1,101554
2107605,26,0,18520
2107704,48,1,19390
2107803,54,1,33309
2107902,45,0,15301
2108009,23,0,16599
2108058,8,0,12201
2108108,38,2,19093
2108207,92,3,43519
2108256,17,0,24220
2108306,83,1,31047
2108405,20,0,12846
2108454,52,1,20258
2108504,78,1,29272
2108603,120,1,73502
2108702,32,0,28850
2108801,40,0,14088
2108900,43,1,20824
2109007,55,0,18300
2109056,16,0,5955
2109106,93,2,42420
2109205,32,0,11891
2109239,13,0,5143
2109270,18,0,14745
2109304,11,0,10767
2109403,22,0,12545
2109452,66,0,21347
2109502,50,0,21367
2109551,14,0,7170
2109601,101,0,35199
2109700,12,0,4905
2109759,9,0,5637
2109809,38,0,34131
2109908,140,1,76173
2110005,117,0,82854
2110039,46,2,19271
2110104,49,0,32633
2110203,49,1,25026
2110237,11,0,11508
2110278,8,0,9721
2110302,17,0,14126
2110401,27,1,17466
2110500,57,2,34615
2110609,37,0,26053
2110658,17,1,7709
2110708,53,0,37028
2110807,13,0,4331
2110856,12,0,8413
2110906,21,0,12807
2111003,40,1,21365
2111029,17,0,15087
2111052,17,0,11839
2111078,24,1,16755
2111102,64,1,24064
2111201,152,1,134593
2111250,11,0,7696
2111300,713,14,998385
2111409,40,0,20987
2111508,87,0,38235
2111532,41,3,11198
2111573,10,0,4334
2111607,36,0,15404
2111631,11,0,6511
2111672,12,0,4563
2111706,36,1,19907
2111722,8,0,10268
2111748,16,0,7671
2111763,34,1,18196
2111789,9,0,3972
2111805,38,1,16204
2111904,23,0,10472
2111953,15,1,4822
2112001,16,0,6538
2112100,39,0,28944
2112209,249,6,146139
2112233,36,0,16870
2112274,19,0,5497
2112308,61,0,37451
2112407,34,0,35597
2112456,13,0,17747
2112506,67,0,45474
2112605,27,0,17054
2112704,76,0,36045
2112803,76,0,45925
2112852,21,0,7443
2112902,68,0,34750
2113009,68,2,28205
2114007,91,1,51966
2200053,25,1,5792
2200103,23,0,5221
2200202,38,0,16176
2200251,24,0,5977
2200277,22,0,4878
2200301,40,1,12205
2200400,101,2,38949
2200459,21,0,4238
2200509,47,0,17147
2200608,36,0,7275
2200707,25,1,7757
2200806,11,1,2537
2200905,27,1,6165
2200954,4,0,2620
2201002,25,0,4695
2201051,19,0,7467
2201101,32,0,10620
2201150,11,1,8968
2201176,11,0,3621
2201200,104,1,42903
2201309,9,0,3259
2201408,31,0,7327
2201507,78,4,26536
2201556,11,0,2866
2201572,7,0,2492
2201606,24,1,9463
2201705,16,1,4719
2201739,32,2,9914
2201770,14,0,6035
2201804,18,0,4443
2201903,54,0,17153
2201919,20,0,4167
2201929,15,0,4811
2201945,23,0,5079
2201960,28,0,6814
2201988,16,1,4599
2202000,58,2,18378
2202026,27,1,8104
2202059,31,0,9141
2202075,14,0,3033
2202083,17,0,6152
2202091,13,0,5508
2202109,27,1,4584
2202117,15,1,4107
2202133,20,0,5495
2202174,21,1,6433
2202208,106,4,41404
2202251,12,1,4152
2202307,59,2,18656
