id_municipio,pib_pc
1100015,5819.860713670057
1100023,9096.413349592747
1100031,6317.7229483897045
1100049,9724.866177278795
1100056,7227.124774905606
1100064,6905.982717260931
1100072,7326.5256669146565
1100080,5182.089816787388
1100098,7085.566130846548
1100106,7738.826695499263
1100114,10917.243643540414
1100122,9787.389897138022
1100130,5634.972299821615
1100148,6008.028269925021
1100155,7099.342211857125
1100189,9927.611300334234
1100205,10744.524492485052
1100254,6000.524315569075
1100262,7559.555925617541
1100288,8171.994149117359
1100296,5960.830035239903
1100304,12406.347956904281
1100320,4720.003814347074
1100338,5709.294892592046
1100346,5518.912086787433
1100379,5392.042772097839
1100403,5352.391338582677
1100452,4705.886906852073
1100502,5522.958810777331
1100601,8154.722181551977
1100700,3773.5260755142594
1100809,6387.4873746108615
1100908,6822.0899315738025
1100924,11604.339148744171
1100940,6355.409937215848
1101005,4612.704513999787
1101104,8390.839981607081
1101203,4971.556535685646
1101302,5284.861715658564
1101401,5826.709851312126
1101435,5121.635313877808
1101450,8310.716292134832
1101468,10221.033421952146
1101476,5273.247439107671
1101484,5635.969584365538
1101492,5701.2474730266895
1101500,4624.46656394453
1101559,5479.1442144553785
1101609,4992.079994415748
1101708,4670.641349023141
1101757,5034.827768655355
1101807,5977.173146906723
1200013,5984.345155268963
1200054,4637.535416262372
1200104,5477.128101462118
1200138,5644.126842646555
1200179,7459.807645549102
1200203,4615.333721533583
1200252,6208.743324173888
1200302,3205.851213006478
1200328,4809.3646503646505
1200336,3645.4357273559012
1200344,3735.7268902205788
1200351,4656.145602452252
1200385,4476.336017397437
1200393,4700.980004122861
1200401,9347.693576165055
1200427,4263.883972369606
1200435,4806.530002790957
1200450,5689.410333333333
1200500,4223.288302493009
1200609,4130.975350851487
1200708,4787.619520621896
1200807,4888.010944466964
1300029,2775.814293448836
1300060,2217.8709289617486
1300086,3389.149805727443
1300102,2760.7110084680526
1300144,4148.777038691987
1300201,2515.9484509242384
1300300,3277.163641904246
1300409,2029.922724704903
1300508,2864.541985296834
1300607,2885.4234581291844
1300631,2604.866960352423
1300680,2506.6268526591107
1300706,4125.4195926966295
1300805,2368.0873807517733
1300839,3598.8529613313754
1300904,3248.9564949089786
1301001,3389.895628767487
1301100,3026.9498755051227
1301159,6249.816732828101
1301209,22061.219623176476
1301308,3995.1799872592737
1301407,3682.5409460580913
1301506,2962.1062854648626
1301605,2222.468577559779
1301654,2787.505070330389
1301704,3964.89694013615
1301803,2364.2161069302483
1301852,3466.5220498925537
1301902,5891.574968778314
1301951,2981.718019952014
1302009,3205.3572073088203
1302108,1961.9426542455712
1302207,3103.7900351242356
1302306,2609.625576819889
1302405,3542.0649116064565
1302504,4164.26258032508
1302553,3305.6803394625176
1302603,19407.491363463
1302702,3319.1616799413123
1302801,2258.6402860433864
1302900,2738.074584515606
1303007,2936.079518500949
1303106,2011.801907790143
1303205,3563.4406077348067
1303304,7950.428435703767
1303403,3288.7034962179055
1303502,2587.363551456424
1303536,8661.945563133046
1303569,4336.446909418728
1303601,3294.291931609439
1303700,1829.66826416976
1303809,2715.141786544922
1303908,2119.1776306992915
1303957,2374.2142936165505
1304005,3321.899116188834
1304062,2785.0516579793725
1304104,2804.402797202797
1304203,3715.6461410211878
1304237,2022.9700601882812
1304260,3046.5751329302934
1304302,2972.2340534540176
1304401,3924.875149057954
1400027,5317.871247391235
1400050,4786.862311865593
1400100,11624.598730247742
1400159,5637.588577912255
1400175,6206.004341400332
1400209,6037.328632874177
1400233,6398.8166412472465
1400282,6689.343879173291
1400308,6770.908718648695
1400407,8284.127528414563
1400456,7575.348547717842
1400472,5211.858526608266
1400506,6652.774845285766
1400605,5974.962399283796
1400704,4191.081308268378
1500107,2721.9800699090883
1500131,5217.301360258029
1500206,5657.754218774735
1500305,2565.2240718431717
1500347,6665.518770614693
1500404,3642.0813411592817
1500503,12515.097734288544
1500602,5195.189774544945
1500701,2467.256770075562
1500800,5410.101281883978
1500859,8579.128093385214
1500909,2271.0513172181268
1500958,3371.106220703901
1501006,1749.7795134307878
