id_municipio,area_total,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata
1100015,295021.75,,,,
1100023,359879.88,133501.0,1115.75,134616.75,
1100031,106652.9,,0.0,,
1100049,238066.28,,,,
1100056,124456.79,,,48510.75,
1100064,128974.78,,240.75,,
1100072,207736.22,54315.75,,,
1100080,159874.21,,0.0,,235.5
1100098,242809.74,,,,
1100106,61225.93,,0.0,,
1100114,240909.21,,,,
1100122,214873.07,,,,
1100130,359882.92,,,,
1100148,110192.61,,,,
1100155,150966.58,,,,
1100189,258494.17,,,,
1100205,409661.82,,,,
1100254,145943.72,,,,
1100262,97231.12,,,,446.5
1100288,129388.85,,,,
1100296,94706.54,,,,
1100304,247144.22,,,,
1100320,232836.94,,,,
1100338,161136.37,,,,
1100346,140817.61,,,,
1100379,147616.25,,,,
1100403,186679.56,,,,
1100452,239861.57,,,,
1100502,71631.97,,,,
1100601,138889.41,,,,
1100700,174486.95,,,,
1100809,161666.72,,,,810.25
1100908,69104.68,,,,
1100924,262584.3,,39.75,,
1100940,112971.14,,,,
1101005,139455.45,,,,
1101104,84242.62,,,,
1101203,70691.19,,,,
1101302,63173.52,,,,
1101401,144377.67,,,,
1101435,62285.82,,,,
1101450,168069.21,,,,
1101468,224462.08,,,,
1101476,55942.23,,,,
1101484,51316.21,,,,
1101492,251018.8,,41.75,,
1101500,170367.33,,,,
1101559,41628.27,,,,
1101609,170672.75,,,,
1101708,69947.95,,,,
1101757,103370.0,,,,
1101807,78469.88,,,10964.5,
1200013,131459.86,,117.5,,2063.25
1200054,82854.2,,0.0,,
1200104,247133.41,,364.0,,
1200138,194334.84,,,,
1200179,184329.86,,906.5,,
1200203,70376.23,,,,
1200252,151230.59,,,,
1200302,235919.47,,1983.0,,
1200328,14933.7,,45.0,,189.0
1200336,21153.31,,0.0,,
1200344,71121.7,,52.0,,
1200351,41382.71,,0.0,,
1200385,137810.33,52614.75,54.0,52668.75,
1200393,17934.17,,0.0,,
1200401,432971.62,,,276522.0,
1200427,27455.63,,,,
1200435,25495.61,,0.0,,
1200450,175603.28,,117.0,,
1200500,343654.33,,293.5,,
1200609,334290.31,,,,
1200708,410595.9,,,,
1200807,176501.68,,339.0,,
1300029,58703.66,,0.0,,
1300060,5448.71,,0.0,,
1300086,9617.54,,0.0,,
1300102,24450.26,,0.0,,
1300144,447737.5,,,,
1300201,11636.71,,0.0,,
1300300,79359.01,,116.0,,
1300409,13539.49,0.0,0.0,0.0,0.0
1300508,78648.67,,271.0,,1117.5
1300607,14788.59,,0.0,,
1300631,13518.53,,0.0,,
1300680,24012.95,,0.0,,13.0
1300706,145180.85,,548.0,,
1300805,30265.71,,0.0,,
1300839,20136.06,,0.0,,
1300904,60896.62,,0.0,,162.0
1301001,20984.52,,563.0,,
1301100,226230.94,,,,
1301159,57463.23,,0.0,,
1301209,95581.86,,,,1232.5
1301308,32397.05,,,,
1301407,47550.85,,,,
1301506,95478.85,,0.0,,39.0
1301605,8827.79,,0.0,,
1301654,45012.93,,0.0,,
1301704,68167.81,,0.0,,
1301803,27732.22,,0.0,,
1301852,94872.11,,25.5,,
1301902,137815.12,,90.0,,
1301951,10859.71,6455.0,0.0,6455.0,0.0
1302009,9945.87,,0.0,,856.5
1302108,3093.93,,0.0,,0.0
1302207,1812.6,,0.0,,0.0
1302306,102546.62,,0.0,,
1302405,437505.84,,9960.0,,
1302504,71904.28,,,,
1302553,26280.31,,0.0,,
1302603,50211.96,,0.0,,
1302702,109139.61,55269.0,,,
1302801,22919.91,,0.0,,
1302900,77905.06,,27.5,,
1303007,31948.88,,0.0,,
1303106,24957.74,,34.0,,
1303205,8908.05,,,,
1303304,59854.35,,,,
1303403,127817.22,,24.5,,
1303502,32455.28,,0.0,,
1303536,63898.13,,0.0,,
1303569,97435.61,,0.0,,
1303601,40607.48,,0.0,,
1303700,22142.62,,0.0,,
1303809,1015.68,,,,
1303908,32454.52,,0.0,,
1303957,20465.96,,0.0,,0.0
1304005,28898.26,,0.0,,
1304062,32035.9,,0.0,,
1304104,13180.91,,0.0,,0.0
1304203,39542.45,,0.0,,
1304237,4231.15,,0.0,,
1304260,20059.87,,0.0,,
1304302,19856.87,,0.0,,
1304401,26804.3,,,,
1400027,271621.94,,0.0,,
1400050,215212.65,,,,
1400100,19398.25,2992.5,10.5,3003.0,
1400159,181538.87,,0.0,,
1400175,181070.56,,1880.0,,1241.5
1400209,128874.42,,59.0,,
1400233,90306.48,,0.0,,
1400282,42044.83,,0.0,,
1400308,112957.37,,211.5,,
1400407,99078.0,25249.5,0.0,25249.5,3952.0
1400456,25823.3,,0.0,,
1400472,175238.27,,26.0,,
1400506,64353.23,,0.0,,
1400605,102676.66,,0.0,,
1400704,7337.14,0.0,0.0,0.0,0.0
1500107,93533.06,,,,
1500131,54407.5,,0.0,,
1500206,151202.29,,,,
1500305,29096.2,,0.0,,
1500347,284154.0,,,,
1500404,126426.28,,,,
1500503,161124.38,,553.5,,
1500602,1014593.32,542990.25,,,
1500701,196321.75,,0.0,,
1500800,4772.91,,0.0,,0.0
1500859,308586.92,,,,
1500909,35822.0,,,,
1500958,91187.77,,,,
1501006,140533.41,,,,
1501105,45300.15,,,,
1501204,88205.68,,,,
1501253,121663.03,,0.0,,
1501303,30786.25,,,,
1501402,13259.05,,,,
1501451,67218.07,,0.0,,89.25
