id_municipio,area_total,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata
3166808,95825.0,16417.0,646.0,368.0,17063.0
3166907,17400.0,1943.0,163.0,0.0,2106.0
3166956,24487.0,9864.0,0.0,0.0,9864.0
3167004,15816.0,2606.0,1921.0,247.0,4527.0
3167103,48149.0,15503.0,0.0,557.0,15503.0
3167202,25458.0,7274.0,438.0,48.0,7712.0
3167301,11969.0,2277.0,207.0,30.0,2484.0
3167400,26743.0,1864.0,297.0,0.0,2161.0
3167509,10346.0,2873.0,169.0,0.0,3042.0
3167608,35216.0,7386.0,443.0,24.0,7829.0
3167707,17623.0,1317.0,0.0,377.0,1317.0
3167806,13839.0,2142.0,185.0,0.0,2327.0
3167905,12968.0,842.0,378.0,0.0,1220.0
3168002,80170.0,22522.0,19354.0,8897.0,41876.0
3168051,14564.0,2740.0,468.0,0.0,3208.0
3168101,73901.0,11328.0,1468.0,0.0,12796.0
3168200,30212.0,5077.0,1663.0,0.0,6740.0
3168309,14868.0,5018.0,300.0,920.0,5318.0
3168408,53796.0,6948.0,0.0,0.0,6948.0
3168507,10568.0,2327.0,445.0,15.0,2772.0
3168606,235159.0,55418.0,1259.0,4295.0,56677.0
3168705,1621.0,576.0,0.0,0.0,576.0
3168804,2735.0,561.0,124.0,0.0,685.0
3168903,121647.0,29053.0,2703.0,0.0,31756.0
3169000,11873.0,1935.0,468.0,51.0,2403.0
3169059,8060.0,752.0,17.0,11.0,769.0
3169109,7197.0,820.0,590.0,5.0,1410.0
3169208,25054.0,3901.0,138.0,0.0,4039.0
3169307,56471.0,7898.0,504.0,78.0,8402.0
3169356,139334.0,36162.0,31966.0,3695.0,68128.0
3169406,50217.0,6937.0,888.0,283.0,7825.0
3169505,41688.0,4141.0,0.0,0.0,4141.0
3169604,127593.0,17614.0,0.0,0.0,17614.0
3169703,57108.0,19670.0,20462.0,3209.0,40132.0
3169802,17120.0,2338.0,70.0,0.0,2408.0
3169901,19601.0,1816.0,2455.0,0.0,4271.0
3170008,63348.0,12170.0,0.0,5818.0,12170.0
3170057,14066.0,2146.0,267.0,0.0,2413.0
3170107,377414.0,59715.0,7381.0,1851.0,67096.0
3170206,298749.0,59458.0,12844.0,1630.0,72302.0
3170305,33820.0,4750.0,0.0,1763.0,4750.0
3170404,616361.0,136460.0,3066.0,9208.0,139526.0
3170438,105945.0,15991.0,0.0,0.0,15991.0
3170479,38567.0,5270.0,573.0,20.0,5843.0
3170503,9077.0,1045.0,29.0,30.0,1074.0
3170529,149069.0,42507.0,0.0,15170.0,42507.0
3170578,7675.0,909.0,0.0,0.0,909.0
3170602,26091.0,6279.0,462.0,0.0,6741.0
3170651,38027.0,22311.0,8297.0,1680.0,30608.0
3170701,28483.0,3248.0,410.0,220.0,3658.0
3170750,48454.0,8222.0,165.0,0.0,8387.0
3170800,158115.0,42671.0,11651.0,4555.0,54322.0
3170909,37105.0,11349.0,0.0,0.0,11349.0
3171006,152183.0,36045.0,15587.0,0.0,51632.0
3171030,142694.0,30335.0,0.0,8788.0,30335.0
3171071,37499.0,13519.0,13913.0,821.0,27432.0
3171105,84777.0,16842.0,3307.0,59.0,20149.0
3171154,8888.0,1611.0,39.0,0.0,1650.0
3171204,818.0,142.0,0.0,16.0,142.0
3171303,14901.0,3034.0,792.0,95.0,3826.0
3171402,9204.0,891.0,142.0,0.0,1033.0
3171501,16684.0,2045.0,0.0,0.0,2045.0
3171600,42213.0,14796.0,2232.0,6626.0,17028.0
3171709,25309.0,3372.0,504.0,0.0,3876.0
3171808,29187.0,7890.0,4058.0,186.0,11948.0
3171907,22081.0,3611.0,291.0,0.0,3902.0
3172004,15232.0,1655.0,265.0,318.0,1920.0
3172103,17532.0,3554.0,373.0,0.0,3927.0
3172202,6010.0,517.0,0.0,833.0,517.0
3200102,66227.0,13416.0,2607.0,767.0,16023.0
3200136,26502.0,3358.0,510.0,72.0,3868.0
3200169,30732.0,4445.0,557.0,353.0,5002.0
3200201,62708.0,7673.0,955.0,179.0,8628.0
3200300,34344.0,10918.0,1916.0,0.0,12834.0
3200359,18142.0,2301.0,1367.0,0.0,3668.0
3200409,25783.0,5878.0,519.0,64.0,6397.0
3200508,15449.0,1842.0,290.0,0.0,2132.0
3200607,89263.0,22597.0,29000.0,158.0,51597.0
3200706,17325.0,2489.0,220.0,252.0,2709.0
3200805,66854.0,12094.0,1507.0,122.0,13601.0
3200904,67298.0,7652.0,580.0,205.0,8232.0
3201001,31272.0,2794.0,544.0,0.0,3338.0
3201100,6621.0,0.0,274.0,468.0,274.0
3201159,21788.0,3468.0,2064.0,0.0,5532.0
3201209,58876.0,8996.0,312.0,135.0,9308.0
3201308,8934.0,1945.0,146.0,0.0,2091.0
3201407,45280.0,8374.0,888.0,606.0,9262.0
3201506,87857.0,15739.0,3431.0,131.0,19170.0
3201605,100052.0,15878.0,41996.0,0.0,57874.0
3201704,26241.0,6355.0,3726.0,0.0,10081.0
3201803,10675.0,1386.0,801.0,0.0,2187.0
3201902,74029.0,23326.0,7588.0,1566.0,30914.0
3202009,11715.0,1380.0,705.0,0.0,2085.0
3202108,191445.0,22865.0,1128.0,402.0,23993.0
3202207,15498.0,3574.0,744.0,19.0,4318.0
3202256,26249.0,4948.0,1172.0,0.0,6120.0
3202306,38130.0,6155.0,1333.0,285.0,7488.0
3202405,20205.0,5679.0,455.0,0.0,6134.0
3202454,18490.0,1792.0,950.0,0.0,2742.0
3202504,13393.0,2895.0,1812.0,111.0,4707.0
